"source","player","mock","actual"
"nbadraft.net","Alperen Sengun",12,16
"nbadraft.net","Corey Kispert",13,15
"nbadraft.net","Davion Mitchell",14,9
"nbadraft.net","Chris Duarte",15,13
"nbadraft.net","Jalen Johnson",16,20
"nbadraft.net","Trey Murphy",17,17
"nbadraft.net","Keon Johnson",18,21
"nbadraft.net","Miles McBride",19,36
"nbadraft.net","Ziaire Williams",20,10
"nbadraft.net","Isaiah Jackson",21,22
"nbadraft.net","Jared Butler",22,40
"nbadraft.net","Usman Garuba",23,23
"nbadraft.net","Cameron Thomas",24,27
"nbadraft.net","Bones Hyland",25,26
"nbadraft.net","Joshua Primo",26,12
"nbadraft.net","Ayo Dosunmu",27,38
"nbadraft.net","Jaden Springer",28,28
"nbadraft.net","Day'Ron Sharpe",29,29
"nbadraft.net","Joel Ayayi",30,NA
"nbadraft.net","Quentin Grimes",31,25
"nbadraft.net","Tre Mann",32,18
"nbadraft.net","Isaiah Todd",33,31
"nbadraft.net","Sharife Cooper",34,48
"nbadraft.net","Josh Christopher",35,24
"nbadraft.net","JT Thor",36,37
"nbadraft.net","Charles Bassey",37,53
"nbadraft.net","BJ Boston",38,51
"nbadraft.net","Juhann Begarin",39,45
"nbadraft.net","Joe Wieskamp",40,41
"nbadraft.net","Jason Preston",41,33
"nbadraft.net","Herbert Jones",42,35
"nbadraft.net","Moses Wright",43,NA
"nbadraft.net","Jericho Sims",44,58
"nbadraft.net","Jeremiah Robinson-Earl",45,32
"nbadraft.net","Aaron Wiggins",46,55
"nbadraft.net","Filip Petrusev",47,50
"nbadraft.net","Greg Brown",48,43
"nbadraft.net","Isaiah Livers",49,42
"nbadraft.net","Neemias Queta",50,39
"nbadraft.net","Vrenz Blijenbergh",51,NA
"nbadraft.net","Kessler Edwards",52,44
"nbadraft.net","Daishen Nix",53,NA
"nbadraft.net","David Johnson",54,47
"nbadraft.net","Duane Washington",55,NA
"nbadraft.net","Justin Champagnie",56,NA
"nbadraft.net","EJ Onu",57,NA
"nbadraft.net","Rokas Jokubaitis",58,34
"nbadraft.net","David Duke",59,NA
"nbadraft.net","Sandro Mamukelashvili",60,54
"NBC Sports","Cade Cunningham",1,1
"NBC Sports","Jalen Green",2,2
"NBC Sports","Evan Mobley",3,3
"NBC Sports","Jalen Suggs",4,5
"NBC Sports","Scottie Barnes",5,4
"NBC Sports","James Bouknight",6,11
"NBC Sports","Jonathan Kuminga",7,7
"NBC Sports","Keon Johnson",8,21
"NBC Sports","Franz Wagner",9,8
"NBC Sports","Josh Giddey",10,6
"NBC Sports","Kai Jones",11,19
"NBC Sports","Jalen Johnson",12,20
"NBC Sports","Davion Mitchell",13,9
"NBC Sports","Corey Kispert",14,15
"NBC Sports","Trey Murphy",15,17
"NBC Sports","Alperen Sengun",16,16
"NBC Sports","Moses Moody",17,14
"NBC Sports","Cameron Thomas",18,27
"NBC Sports","Chris Duarte",19,13
"NBC Sports","Ziaire Williams",20,10
"NBC Sports","Usman Garuba",21,23
"NBC Sports","Ayo Dosunmu",22,38
"NBC Sports","Isaiah Jackson",23,22
"NBC Sports","Jaden Springer",24,28
"NBC Sports","Sharife Cooper",25,48
"NBC Sports","Jared Butler",26,40
"NBC Sports","Day'Ron Sharpe",27,29
"NBC Sports","Bones Hyland",28,26
"NBC Sports","Tre Mann",29,18
"NBC Sports","JT Thor",30,37
"NBC Sports","Josh Christopher",31,24
"NBC Sports","Charles Bassey",32,53
"NBC Sports","Miles McBride",33,36
"NBC Sports","Joshua Primo",34,12
"NBC Sports","Isaiah Todd",35,31
"NBC Sports","BJ Boston",36,51
"NBC Sports","Joel Ayayi",37,NA
"NBC Sports","Quentin Grimes",38,25
"NBC Sports","Filip Petrusev",39,50
"NBC Sports","Herbert Jones",40,35
"NBC Sports","Aaron Henry",41,NA
"NBC Sports","Daishen Nix",42,NA
"NBC Sports","Vrenz Blijenbergh",43,NA
"NBC Sports","Kessler Edwards",44,44
"NBC Sports","Joe Wieskamp",45,41
"NBC Sports","Aaron Wiggins",46,55
"NBC Sports","Greg Brown",47,43
"NBC Sports","Jeremiah Robinson-Earl",48,32
"NBC Sports","Austin Reaves",49,NA
"NBC Sports","Luka Garza",50,52
"NBC Sports","David Johnson",51,47
"NBC Sports","Isaiah Livers",52,42
"NBC Sports","Matthew Hurt",53,NA
"NBC Sports","Jericho Sims",54,58
"NBC Sports","Juhann Begarin",55,45
"NBC Sports","DJ Steward",56,NA
"NBC Sports","Neemias Queta",57,39
"NBC Sports","RaiQuan Gray",58,59
