"coach_name","season","team_abbreviation","wins","losses","w_pct_rank","net_rating","net_rating_rank","off_rating","off_rating_rank","def_rating","def_rating_rank","pace_rank","pace","efg_pct_rank","efg_pct","fta_rate_rank","fta_rate","tm_tov_pct_rank","tm_tov_pct","oreb_pct_rank","oreb_pct","pct_fga_3pt_rank","pct_fga_3pt","opp_efg_pct_rank","opp_efg_pct","opp_fta_rate_rank","opp_fta_rate","opp_tov_pct_rank","opp_tov_pct","opp_oreb_pct_rank","opp_oreb_pct","opp_pct_fga_3pt_rank","opp_pct_fga_3pt"
"L. Frank (34-48)","2007-08","NJN","34","48",21,-5.4,23,102.3,27,107.7,20,13,92.96,25,0.481,4,0.347,26,0.16,16,0.3,14,0.222,12,0.497,28,0.353,23,0.143,10,0.294,13,0.221305211676601
"L. Frank (41-41)","2006-07","NJN","41","41",14,-0.9,16,104.2,18,105.1,13,16,92.69,7,0.504,10,0.338,11,0.158,27,0.275,4,0.263,10,0.49,22,0.349,23,0.155,7,0.286,21,0.22467572575664
"L. Frank (49-33)","2005-06","NJN","49","33",7,1.5,13,102.4,24,100.9,3,18,91.17,25,0.478,11,0.346,8,0.149,29,0.274,8,0.229,9,0.476,24,0.359,12,0.157,1,0.27,23,0.214721954355513
"L. Frank (42-40)","2004-05","NJN","42","40",17,-1.7,19,99.9,27,101.6,6,21,90.41,28,0.463,18,0.318,17,0.155,26,0.298,19,0.187,11,0.479,28,0.374,4,0.171,3,0.299,27,0.21388033079293
"B. Scott (22-20)","2003-04","NJN","22","20",13,1,12,96.8,25,95.8,5,16,91.64,21,0.459,15,0.292,13,0.163,27,0.285,19,0.168,9,0.462,5,0.268,4,0.182,5,0.295,22,0.194606190622127
"L. Frank (25-15)","2003-04","NJN","25","15",8,4.3,7,101.4,17,97.1,3,18,90.26,9,0.484,22,0.291,16,0.161,25,0.294,15,0.185,8,0.459,17,0.315,8,0.172,1,0.282,9,0.183613030602172
"B. Scott (49-33)","2002-03","NJN","49","33",8,5.4,4,102.1,20,96.6,1,11,93,21,0.468,7,0.333,16,0.158,13,0.317,22,0.158,4,0.46,16,0.3,3,0.178,4,0.298,15,0.18340814115462
"B. Scott (52-30)","2001-02","NJN","52","30",5,4.3,5,102.4,17,98.1,1,8,93.2,14,0.476,20,0.28,11,0.154,13,0.322,15,0.175,4,0.459,11,0.283,3,0.171,17,0.317,11,0.17621475704859
"B. Scott (26-56)","2000-01","NJN","26","56",24,-5.4,24,98.4,25,103.8,23,12,93.35,27,0.452,8,0.328,11,0.157,25,0.292,15,0.165,24,0.488,26,0.346,7,0.17,26,0.327,24,0.184283942963422
"D. Casey (31-51)","1999-00","NJN","31","51",23,-1.1,21,102.8,14,103.9,19,16,94.63,22,0.468,19,0.297,2,0.143,23,0.298,6,0.2,23,0.491,10,0.298,5,0.175,28,0.343,4,0.150274439994066
"J. Calipari (3-17)","1998-99","NJN","3","17",28,-8.1,27,89.1,29,97.2,12,3,94.76,29,0.404,25,0.303,21,0.181,23,0.315,24,0.133,14,0.458,22,0.371,13,0.178,6,0.311,15,0.160634920634921
"D. Casey (13-17)","1998-99","NJN","13","17",19,-1.6,20,102.4,14,103.9,22,2,93.03,23,0.453,21,0.299,3,0.144,11,0.337,12,0.183,25,0.496,8,0.298,11,0.17,16,0.323,12,0.167572085248642
"J. Calipari (43-39)","1997-98","NJN","43","39",14,1.5,15,105.8,10,104.3,21,9,93.16,23,0.463,11,0.339,3,0.153,1,0.383,22,0.135,24,0.499,20,0.345,2,0.192,21,0.35,16,0.16078676241024
"J. Calipari (26-56)","1996-97","NJN","26","56",23,-4.8,22,102.4,26,107.2,23,3,94.47,29,0.456,27,0.286,8,0.166,1,0.376,21,0.193,22,0.503,17,0.327,24,0.161,12,0.331,14,0.209156193895871
"S. Clifford (21-61)","2023-24","CHA","21","61",27,-10.6,30,108.6,28,119.2,29,22,97.81,26,0.529,30,0.212,21,0.14,27,0.253,15,0.391,29,0.572,11,0.236,10,0.139,22,0.291,26,0.412320956751495
"S. Clifford (27-55)","2022-23","CHA","27","55",27,-6.3,27,108.4,30,114.7,20,9,101.47,29,0.516,17,0.261,14,0.139,17,0.276,23,0.36,18,0.544,15,0.266,13,0.14,19,0.283,18,0.380462724935733
"J. Borrego (43-39)","2021-22","CHA","43","39",16,0.5,16,113.6,8,113.1,22,5,100.52,7,0.544,24,0.234,9,0.131,14,0.27,12,0.418,25,0.544,11,0.246,5,0.148,29,0.294,26,0.429074174336762
"J. Borrego (33-39)","2020-21","CHA","33","39",19,-1.9,23,110.1,23,112,16,18,99,19,0.532,21,0.238,25,0.149,9,0.276,8,0.422,26,0.55,5,0.219,6,0.148,26,0.278,29,0.448629057674125
"J. Borrego (23-42)","2019-20","CHA","23","42",22,-7,27,105.9,28,112.8,25,30,96.24,28,0.504,23,0.252,24,0.15,8,0.28,10,0.399,27,0.546,1,0.21,10,0.148,30,0.294,25,0.400527240773286
"J. Borrego (39-43)","2018-19","CHA","39","43",17,-1.3,19,110.7,11,112,23,21,99.18,24,0.514,15,0.257,2,0.122,17,0.268,11,0.378,24,0.538,3,0.227,17,0.135,12,0.269,24,0.375871973738203
"S. Clifford (36-46)","2017-18","CHA","36","46",20,-0.1,18,109,9,109,17,10,98.66,25,0.508,1,0.312,2,0.128,13,0.271,22,0.314,23,0.532,1,0.208,24,0.137,2,0.237,17,0.342686484233921
"S. Clifford (36-46)","2016-17","CHA","36","46",20,0,15,108.4,14,108.4,17,20,95.92,23,0.501,12,0.279,1,0.119,27,0.247,8,0.335,23,0.523,1,0.211,22,0.135,3,0.251,30,0.363226170332769
"S. Clifford (48-34)","2015-16","CHA","48","34",7,2.7,9,106.4,9,103.7,9,18,96.24,14,0.502,13,0.28,1,0.129,27,0.244,4,0.348,13,0.496,4,0.249,24,0.138,1,0.246,23,0.298522450150624
"S. Clifford (33-49)","2014-15","CHA","33","49",22,-3.4,24,99.6,28,103,10,24,93.45,30,0.456,15,0.269,1,0.126,27,0.27,24,0.226,9,0.487,5,0.244,26,0.133,1,0.254,12,0.264607314585458
"S. Clifford (43-39)","2013-14","CHA","43","39",16,-0.4,16,103,24,103.3,6,22,92.93,25,0.481,10,0.297,1,0.131,24,0.269,27,0.219,9,0.491,2,0.241,28,0.142,1,0.27,17,0.26323486399532
"M. Dunlap (21-61)","2012-13","CHA","21","61",29,-9.9,30,100.4,28,110.3,30,16,92.49,30,0.46,3,0.31,8,0.151,16,0.305,25,0.21,30,0.524,12,0.264,21,0.151,26,0.321,29,0.273144040224786
"P. Silas (7-59)","2011-12","CHA","7","59",30,-15,30,94.4,30,109.4,30,17,91.86,30,0.439,14,0.276,16,0.157,24,0.285,27,0.169,28,0.512,16,0.275,25,0.146,25,0.322,6,0.211051561633709
"L. Brown (9-19)","2010-11","CHA","9","19",23,-6.4,26,99.5,30,105.9,18,21,91.82,21,0.485,8,0.328,30,0.188,14,0.306,21,0.198,16,0.5,13,0.305,13,0.155,8,0.287,30,0.272562358276644
"P. Silas (25-29)","2010-11","CHA","25","29",18,-3,22,104.5,21,107.5,17,28,89.51,26,0.481,10,0.307,12,0.145,20,0.293,24,0.184,14,0.5,13,0.288,26,0.14,11,0.299,22,0.235129461161652
"L. Brown (44-38)","2009-10","CHA","44","38",15,1.9,15,103.9,24,102,2,26,90.91,24,0.49,2,0.346,30,0.172,7,0.315,19,0.211,12,0.491,2,0.262,3,0.167,14,0.302,30,0.259485924112607
"L. Brown (35-47)","2008-09","CHA","35","47",19,-1.3,20,103.7,27,105,7,27,89.18,19,0.494,11,0.312,30,0.173,5,0.321,20,0.213,13,0.498,18,0.304,5,0.163,22,0.314,23,0.240352811466373
"S. Vincent (32-50)","2007-08","CHA","32","50",23,-4.5,22,103.7,23,108.2,22,16,92.75,16,0.492,10,0.323,22,0.157,20,0.294,15,0.22,21,0.505,17,0.314,10,0.153,28,0.326,9,0.217833632555356
"B. Bickerstaff (33-49)","2006-07","CHA","33","49",21,-3.9,25,102.4,26,106.3,19,12,93.11,25,0.48,15,0.322,12,0.158,20,0.299,22,0.193,18,0.5,27,0.373,6,0.167,21,0.318,6,0.193023255813953
"B. Bickerstaff (26-56)","2005-06","CHA","26","56",27,-4.4,27,101.2,28,105.6,21,3,94.57,29,0.464,21,0.319,7,0.149,13,0.305,19,0.184,28,0.514,23,0.356,1,0.187,25,0.322,13,0.200468018720749
"B. Bickerstaff (18-64)","2004-05","CHA","18","64",28,-6.2,28,99.8,28,106,21,11,93.54,29,0.455,23,0.306,15,0.154,10,0.327,28,0.128,24,0.497,22,0.35,6,0.167,20,0.324,8,0.188105117565698
"P. Silas (44-38)","2001-02","CHH","44","38",11,1.2,13,102.9,14,101.8,10,21,90.93,20,0.466,6,0.32,10,0.154,9,0.333,23,0.151,7,0.465,15,0.294,18,0.152,8,0.311,10,0.175310888686685
"P. Silas (46-36)","2000-01","CHH","46","36",14,2.1,14,99.7,19,97.6,6,21,91.24,24,0.457,7,0.33,10,0.156,14,0.315,20,0.151,4,0.456,10,0.294,19,0.159,1,0.29,13,0.166282110444547
"P. Silas (49-33)","1999-00","CHH","49","33",10,2.8,9,102.5,18,99.7,8,11,95.58,18,0.475,2,0.376,8,0.153,26,0.283,17,0.153,13,0.478,7,0.265,14,0.165,1,0.288,10,0.159447951842608
"D. Cowens (4-11)","1998-99","CHH","4","11",25,-7.7,27,94.6,25,102.3,26,13,91.53,12,0.468,14,0.333,24,0.185,29,0.253,7,0.178,20,0.466,12,0.326,26,0.145,2,0.307,17,0.166257166257166
"P. Silas (22-13)","1998-99","CHH","22","13",7,3.3,10,102.8,12,99.6,10,8,91.38,5,0.493,2,0.389,16,0.167,29,0.272,6,0.206,9,0.459,16,0.326,9,0.173,18,0.328,4,0.156002875629044
"D. Cowens (51-31)","1997-98","CHH","51","31",9,2.2,12,105.5,12,103.3,15,18,91.13,7,0.495,9,0.345,13,0.166,22,0.326,15,0.142,22,0.493,7,0.306,17,0.165,3,0.309,20,0.165653732273648
"D. Cowens (54-28)","1996-97","CHH","54","28",9,2.1,11,109.1,4,107.1,21,22,90.04,3,0.518,15,0.313,5,0.162,27,0.316,10,0.218,17,0.496,6,0.279,27,0.154,16,0.339,9,0.205112781954887
"B. Donovan (39-43)","2023-24","CHI","39","43",20,-1.7,20,114,19,115.7,22,28,96.94,22,0.534,19,0.236,3,0.124,11,0.291,29,0.358,23,0.556,19,0.251,8,0.142,17,0.283,30,0.453653064086383
"B. Donovan (40-42)","2022-23","CHI","40","42",19,1.3,13,112.8,24,111.5,5,18,99.18,12,0.55,24,0.251,8,0.133,28,0.236,29,0.333,17,0.544,5,0.253,6,0.15,3,0.264,28,0.425931111733408
"B. Donovan (46-36)","2021-22","CHI","46","36",12,-0.5,20,112.7,13,113.2,23,14,98.76,10,0.541,17,0.248,6,0.13,28,0.249,30,0.332,22,0.541,16,0.251,23,0.132,7,0.265,2,0.365411436541144
"B. Donovan (31-41)","2020-21","CHI","31","41",21,-1.1,20,110.4,21,111.5,12,13,99.58,10,0.547,30,0.197,27,0.151,16,0.267,17,0.383,14,0.538,17,0.253,26,0.127,1,0.233,7,0.368762870267702
"J. Boylen (22-43)","2019-20","CHI","22","43",24,-3.1,22,105.8,29,108.9,9,16,100.46,24,0.515,27,0.231,26,0.153,14,0.267,12,0.396,26,0.546,30,0.315,1,0.181,23,0.281,15,0.383482475764355
"F. Hoiberg (5-19)","2018-19","CHI","5","19",28,-9.5,29,101.1,30,110.6,22,15,100.89,28,0.498,24,0.242,19,0.149,30,0.216,21,0.335,19,0.526,4,0.231,22,0.14,19,0.281,26,0.378980891719745
"J. Boylen (17-41)","2018-19","CHI","17","41",27,-7.8,27,106,28,113.8,27,23,98.64,28,0.508,24,0.233,19,0.137,26,0.253,30,0.278,28,0.548,17,0.253,19,0.129,14,0.269,15,0.366549433372411
"F. Hoiberg (27-55)","2017-18","CHI","27","55",24,-7,28,103.4,28,110.5,28,11,98.65,29,0.497,29,0.216,11,0.141,22,0.256,11,0.35,29,0.542,8,0.233,25,0.136,1,0.233,29,0.376387912860155
"F. Hoiberg (41-41)","2016-17","CHI","41","41",15,0.3,14,106.5,21,106.2,5,19,96.02,30,0.487,21,0.259,13,0.14,3,0.311,28,0.256,10,0.507,2,0.219,20,0.139,8,0.267,8,0.298774475278208
"F. Hoiberg (42-40)","2015-16","CHI","42","40",14,-1.4,18,104.1,23,105.5,15,15,96.6,26,0.487,28,0.24,12,0.142,11,0.29,24,0.244,6,0.485,3,0.247,29,0.122,20,0.286,5,0.257057138960862
"T. Thibodeau (50-32)","2014-15","CHI","50","32",9,3,11,106.3,11,103.3,11,19,93.8,21,0.489,5,0.304,15,0.147,5,0.312,16,0.269,2,0.473,4,0.242,29,0.129,17,0.291,2,0.225770150513434
"T. Thibodeau (48-34)","2013-14","CHI","48","34",11,1.9,13,101.7,28,99.9,2,29,90.84,30,0.471,14,0.29,27,0.162,3,0.321,25,0.222,2,0.471,4,0.25,13,0.156,12,0.287,3,0.23003003003003
"T. Thibodeau (45-37)","2012-13","CHI","45","37",11,0.5,13,102.4,23,101.9,6,27,90.35,29,0.47,19,0.259,15,0.157,6,0.332,29,0.189,4,0.477,19,0.278,22,0.15,16,0.301,1,0.199390708301599
"T. Thibodeau (50-16)","2011-12","CHI","50","16",1,8.8,1,106.3,5,97.5,1,28,89.98,14,0.49,24,0.255,14,0.154,1,0.361,20,0.205,1,0.45,3,0.236,24,0.147,8,0.297,1,0.173247232472325
"T. Thibodeau (62-20)","2010-11","CHI","62","20",1,7.8,1,107.2,12,99.5,1,22,91.2,14,0.501,9,0.305,20,0.154,4,0.332,18,0.215,1,0.463,9,0.291,11,0.154,3,0.283,5,0.200521232561705
"V. Del Negro (41-41)","2009-10","CHI","41","41",17,-1.6,18,102.6,27,104.2,11,12,94.02,28,0.477,20,0.287,15,0.151,17,0.303,29,0.156,7,0.484,12,0.284,24,0.14,6,0.291,28,0.24400871459695
"V. Del Negro (41-41)","2008-09","CHI","41","41",15,-0.3,16,107.2,15,107.5,18,10,94.1,21,0.493,17,0.3,19,0.153,4,0.321,24,0.189,9,0.493,17,0.303,12,0.151,28,0.325,5,0.203962703962704
"S. Skiles (9-16)","2007-08","CHI","9","16",24,-4.8,22,97.7,30,102.4,7,11,93.91,30,0.442,26,0.262,14,0.161,6,0.329,25,0.181,16,0.492,23,0.332,5,0.175,19,0.304,28,0.243340163934426
"P. Myers (0-1)","2007-08","CHI","0","1",12,-16.7,18,95.2,19,111.9,17,21,83.5,20,0.434,21,0.12,6,0.133,6,0.34,19,0.145,15,0.526,13,0.303,20,0.119,19,0.364,11,0.223684210526316
"J. Boylan (24-32)","2007-08","CHI","24","32",19,-2.1,19,105.4,20,107.5,14,9,94.29,25,0.483,11,0.314,22,0.152,6,0.323,23,0.195,11,0.498,24,0.339,5,0.156,24,0.315,15,0.226125137211855
"S. Skiles (49-33)","2006-07","CHI","49","33",8,5.2,4,104,20,98.8,1,8,94.47,17,0.493,21,0.313,24,0.168,10,0.319,24,0.186,3,0.473,21,0.346,2,0.184,11,0.293,14,0.216178304239401
"S. Skiles (41-41)","2005-06","CHI","41","41",14,0.7,14,103.3,21,102.7,8,7,93.59,16,0.487,29,0.292,21,0.158,15,0.303,13,0.219,3,0.464,27,0.379,9,0.158,9,0.297,27,0.219186492709133
"S. Skiles (47-35)","2004-05","CHI","47","35",10,1.4,12,100.5,26,99.1,2,12,93.41,24,0.471,21,0.311,30,0.178,17,0.317,10,0.217,2,0.454,26,0.352,9,0.165,9,0.309,12,0.190134392180819
"B. Cartwright (4-10)","2003-04","CHI","4","10",26,-10,29,94.2,27,104.2,26,4,94.05,14,0.459,15,0.296,27,0.192,28,0.295,19,0.17,25,0.485,22,0.321,23,0.157,11,0.323,19,0.198612315698179
"P. Myers (0-2)","2003-04","CHI","0","2",18,-19.8,25,104.8,11,124.6,27,8,93.5,4,0.543,26,0.159,13,0.16,23,0.221,16,0.159,26,0.557,21,0.305,26,0.107,18,0.363,14,0.172413793103448
"S. Skiles (19-47)","2003-04","CHI","19","47",28,-5.4,27,95.6,29,101,12,8,93.05,29,0.441,26,0.27,21,0.168,14,0.316,13,0.19,9,0.463,28,0.343,12,0.165,18,0.319,11,0.184708554125662
"B. Cartwright (30-52)","2002-03","CHI","30","52",23,-5.1,25,99.1,26,104.2,21,4,94.76,18,0.471,15,0.3,25,0.177,18,0.307,23,0.148,12,0.47,28,0.351,21,0.153,25,0.328,21,0.195540560363796
"T. Floyd (4-21)","2001-02","CHI","4","21",29,-12.9,29,91.9,29,104.8,21,22,90.6,29,0.429,6,0.313,25,0.174,21,0.3,28,0.116,26,0.495,10,0.278,13,0.16,14,0.321,18,0.184553660982949
"B. Berry (0-2)","2001-02","CHI","0","2",15,-18.6,26,84.6,26,103.2,16,6,94.5,24,0.413,15,0.281,23,0.191,16,0.295,27,0.063,18,0.485,17,0.307,17,0.147,18,0.33,18,0.192771084337349
"B. Cartwright (17-38)","2001-02","CHI","17","38",27,-7,27,100,26,107,26,11,91.89,22,0.469,11,0.297,21,0.161,21,0.298,25,0.144,28,0.498,28,0.341,16,0.154,12,0.312,13,0.178456591639871
"T. Floyd (15-67)","2000-01","CHI","15","67",29,-10,29,95.9,29,105.9,28,27,90.47,28,0.45,17,0.298,25,0.173,20,0.302,21,0.148,27,0.499,27,0.348,14,0.163,27,0.327,4,0.153712480252765
"T. Floyd (17-65)","1999-00","CHI","17","65",28,-10,28,92.8,29,102.8,15,27,90.93,29,0.443,5,0.338,29,0.208,6,0.331,15,0.167,20,0.484,19,0.324,13,0.166,22,0.324,15,0.16400875547217
"T. Floyd (13-37)","1998-99","CHI","13","37",27,-10.4,29,91.4,29,101.7,20,21,89.19,29,0.424,19,0.309,19,0.173,26,0.299,19,0.159,24,0.483,14,0.329,9,0.174,6,0.316,10,0.161648177496038
"P. Jackson (62-20)","1997-98","CHI","62","20",1,7.8,3,106.2,8,98.4,3,22,90.3,19,0.473,24,0.295,7,0.158,2,0.381,16,0.141,5,0.457,6,0.302,11,0.17,7,0.324,13,0.157643066481567
"P. Jackson (69-13)","1996-97","CHI","69","13",1,11.8,1,112.4,1,100.7,4,17,91.5,5,0.511,29,0.267,2,0.147,2,0.374,17,0.203,3,0.471,3,0.266,13,0.172,10,0.33,15,0.211633849391252
"J. Bickerstaff (48-34)","2023-24","CLE","48","34",11,2.5,12,114.7,16,112.1,7,24,97.62,13,0.557,21,0.234,19,0.138,22,0.274,7,0.422,6,0.535,15,0.24,13,0.138,14,0.279,10,0.386426978818283
"J. Bickerstaff (51-31)","2022-23","CLE","51","31",5,5.6,2,115.5,8,109.9,1,30,96.27,9,0.556,16,0.264,12,0.137,20,0.273,17,0.371,6,0.535,16,0.268,4,0.161,20,0.285,5,0.366291806630641
"J. Bickerstaff (44-38)","2021-22","CLE","44","38",14,2.1,13,111,20,108.9,5,25,96.83,14,0.538,7,0.261,27,0.148,12,0.277,20,0.387,5,0.52,5,0.223,13,0.138,18,0.276,9,0.380453020134228
"J. Bickerstaff (22-50)","2020-21","CLE","22","50",26,-8.3,28,105.2,28,113.5,25,25,97.96,29,0.508,7,0.261,29,0.157,7,0.28,25,0.347,29,0.556,8,0.235,9,0.145,21,0.271,9,0.373738991192954
"J. Beilein (14-40)","2019-20","CLE","14","40",29,-8.8,30,106.3,24,115.1,29,21,99.27,22,0.517,29,0.22,30,0.165,3,0.297,18,0.362,30,0.56,3,0.215,25,0.128,8,0.261,10,0.367908902691511
"J. Bickerstaff (5-6)","2019-20","CLE","5","6",17,-3.2,22,109.9,23,113.1,15,23,98.72,8,0.548,15,0.262,30,0.168,6,0.288,23,0.362,21,0.557,2,0.209,15,0.141,14,0.267,6,0.373088685015291
"T. Lue (0-6)","2018-19","CLE","0","6",29,-12.5,29,105.8,23,118.3,29,25,100,26,0.483,19,0.25,21,0.15,3,0.325,30,0.251,30,0.585,18,0.279,17,0.141,17,0.277,13,0.348837209302326
"L. Drew (19-57)","2018-19","CLE","19","57",28,-9.8,30,106.9,25,116.7,30,29,97.17,28,0.504,25,0.235,11,0.137,11,0.278,20,0.339,30,0.562,4,0.232,27,0.126,11,0.267,14,0.363389626055489
"T. Lue (50-32)","2017-18","CLE","50","32",6,1,14,112,5,111.1,29,9,98.72,3,0.547,8,0.275,9,0.139,28,0.243,4,0.379,28,0.54,2,0.219,26,0.136,16,0.27,24,0.358662613981763
"T. Lue (51-31)","2016-17","CLE","51","31",5,3.1,7,112.8,3,109.7,21,16,96.74,2,0.547,15,0.275,11,0.14,21,0.264,2,0.399,18,0.516,3,0.226,29,0.129,14,0.278,20,0.323036792970895
"D. Blatt (30-11)","2015-16","CLE","30","11",3,6,4,107.2,4,101.2,4,28,93.65,6,0.513,17,0.272,13,0.149,10,0.289,4,0.34,10,0.488,16,0.277,22,0.145,3,0.253,11,0.2734375
"T. Lue (27-14)","2015-16","CLE","27","14",6,6.6,2,113.2,3,106.6,11,28,94,2,0.536,26,0.246,13,0.138,7,0.3,3,0.364,13,0.504,12,0.273,22,0.136,8,0.262,9,0.279342723004695
"D. Blatt (53-29)","2014-15","CLE","53","29",7,4.8,5,110.1,4,105.3,18,25,93.23,4,0.52,10,0.287,19,0.152,6,0.311,2,0.334,19,0.502,1,0.238,22,0.142,15,0.289,15,0.26978102189781
"M. Brown (33-49)","2013-14","CLE","33","49",22,-3.6,23,103.5,22,107,20,19,93.69,27,0.479,20,0.268,8,0.149,8,0.314,21,0.236,17,0.508,10,0.263,20,0.147,14,0.289,30,0.304220826639404
"B. Scott (24-58)","2012-13","CLE","24","58",28,-5,27,103.2,20,108.2,26,13,93.25,26,0.473,15,0.265,6,0.15,8,0.326,17,0.229,29,0.523,28,0.304,8,0.163,22,0.305,17,0.251110770645013
"B. Scott (21-45)","2011-12","CLE","21","45",27,-7.6,29,100,25,107.6,27,14,92.34,29,0.463,4,0.307,25,0.166,7,0.323,15,0.238,27,0.508,12,0.27,23,0.149,24,0.317,18,0.227582397348555
"B. Scott (19-63)","2010-11","CLE","19","63",29,-9.5,30,101.5,28,110.9,29,12,93.76,28,0.472,8,0.312,17,0.151,22,0.283,13,0.224,29,0.524,5,0.278,24,0.144,16,0.301,21,0.237213403880071
"M. Brown (61-21)","2009-10","CLE","61","21",1,6.8,2,110.6,5,103.8,8,25,91.77,3,0.532,3,0.341,14,0.15,21,0.293,7,0.248,3,0.482,14,0.288,25,0.138,3,0.275,20,0.227800391979496
"M. Brown (66-16)","2008-09","CLE","66","16",1,9.6,1,111.2,4,101.6,2,25,89.61,4,0.519,12,0.312,8,0.141,16,0.306,4,0.259,2,0.468,12,0.294,10,0.154,9,0.293,14,0.224549968963377
"M. Brown (45-37)","2007-08","CLE","45","37",13,-0.6,16,104.8,20,105.4,11,25,91.06,26,0.48,15,0.308,14,0.152,2,0.334,12,0.231,10,0.494,18,0.32,19,0.145,4,0.285,11,0.219591457753018
"M. Brown (50-32)","2006-07","CLE","50","32",7,3.8,7,104.4,16,100.6,4,22,91.59,22,0.484,17,0.32,9,0.155,5,0.327,18,0.211,7,0.48,17,0.331,9,0.166,2,0.279,7,0.194255957077481
"M. Brown (50-32)","2005-06","CLE","50","32",6,2.1,8,106.6,9,104.4,15,20,90.77,13,0.492,7,0.362,12,0.151,10,0.313,9,0.228,18,0.49,5,0.304,28,0.144,4,0.283,10,0.199197654682919
"P. Silas (34-30)","2004-05","CLE","34","30",13,1.9,9,105.4,11,103.4,12,18,91.06,21,0.472,16,0.325,13,0.154,2,0.352,27,0.131,9,0.474,20,0.337,13,0.161,22,0.327,2,0.168977812995246
"B. Malone (8-10)","2004-05","CLE","8","10",18,-4.4,22,105,18,109.4,24,26,89.52,27,0.462,16,0.327,8,0.144,3,0.362,23,0.148,28,0.524,8,0.312,4,0.164,18,0.326,10,0.19269340974212
"P. Silas (35-47)","2003-04","CLE","35","47",21,-2.6,21,100.6,18,103.1,20,14,91.71,28,0.451,16,0.301,11,0.16,4,0.34,29,0.116,14,0.469,14,0.294,29,0.141,12,0.312,7,0.171918922917591
"J. Lucas (8-34)","2002-03","CLE","8","34",29,-11.2,29,93.3,28,104.5,24,2,94.99,28,0.432,9,0.327,26,0.188,8,0.323,26,0.13,26,0.488,21,0.332,21,0.154,6,0.303,13,0.173963806187974
"K. Smart (9-31)","2002-03","CLE","9","31",28,-8.5,28,97.2,27,105.7,23,3,95.68,25,0.457,23,0.268,29,0.193,2,0.353,25,0.136,13,0.481,24,0.321,27,0.14,9,0.302,11,0.178869047619048
"J. Lucas (29-53)","2001-02","CLE","29","53",24,-3.6,22,103.4,12,107,28,18,91.31,11,0.477,12,0.301,16,0.158,15,0.319,21,0.156,27,0.493,17,0.302,26,0.141,7,0.31,15,0.179694519317161
"R. Wittman (30-52)","2000-01","CLE","30","52",23,-4.2,23,99.3,22,103.5,21,17,92.32,23,0.459,13,0.312,27,0.177,7,0.331,29,0.101,21,0.477,18,0.323,16,0.161,23,0.322,21,0.175478577939836
"R. Wittman (32-50)","1999-00","CLE","32","50",22,-3.5,24,98.7,26,102.2,14,4,97.36,23,0.468,8,0.327,25,0.177,20,0.308,23,0.136,10,0.474,27,0.354,8,0.172,17,0.315,24,0.182600950118765
"M. Fratello (22-28)","1998-99","CLE","22","28",20,-1.9,19,98.2,23,100.1,12,27,87.66,16,0.464,4,0.381,22,0.178,28,0.295,21,0.15,17,0.468,21,0.359,4,0.186,25,0.344,24,0.184224890829694
"M. Fratello (47-35)","1997-98","CLE","47","35",11,2.8,10,100.3,24,97.5,1,17,91.43,13,0.478,6,0.352,29,0.188,19,0.33,23,0.129,7,0.46,23,0.35,3,0.191,6,0.322,15,0.15963952365626
"M. Fratello (42-40)","1996-97","CLE","42","40",14,1.9,12,102.7,24,100.8,5,29,84.31,15,0.493,25,0.297,14,0.17,25,0.322,12,0.215,10,0.482,27,0.379,2,0.191,5,0.319,19,0.218162468960624
"J. Kidd (50-32)","2023-24","DAL","50","32",6,2.1,15,117,8,114.9,18,7,100.6,7,0.562,13,0.251,4,0.124,25,0.257,2,0.441,17,0.548,13,0.239,17,0.137,21,0.289,13,0.394037501686227
"J. Kidd (38-44)","2022-23","DAL","38","44",21,-0.2,20,115.9,6,116.1,25,28,97.21,5,0.565,3,0.298,2,0.124,30,0.226,1,0.487,20,0.549,27,0.29,22,0.133,17,0.283,6,0.367445152158528
"J. Kidd (52-30)","2021-22","DAL","52","30",5,3.5,7,112.5,14,109.1,7,30,95.64,13,0.538,14,0.249,7,0.13,23,0.256,5,0.439,6,0.521,10,0.241,17,0.136,10,0.267,6,0.376374803599486
"R. Carlisle (42-30)","2020-21","DAL","42","30",8,2.3,10,114.6,8,112.3,21,26,97.94,8,0.55,15,0.242,3,0.123,21,0.253,6,0.436,11,0.534,24,0.259,22,0.129,17,0.266,21,0.404689743180731
"R. Carlisle (43-32)","2019-20","DAL","43","32",13,4.8,6,115.9,1,111.2,18,18,99.89,4,0.545,12,0.264,3,0.126,12,0.275,2,0.457,13,0.525,6,0.23,30,0.119,8,0.26,13,0.38075131042516
"R. Carlisle (33-49)","2018-19","DAL","33","49",22,-1.5,21,108.7,20,110.1,18,19,99.6,19,0.519,4,0.291,21,0.142,13,0.273,2,0.422,16,0.522,8,0.246,24,0.13,10,0.266,17,0.364593301435407
"R. Carlisle (24-58)","2017-18","DAL","24","58",27,-2.9,22,105.4,24,108.4,16,26,96.53,19,0.513,27,0.217,1,0.127,30,0.224,3,0.382,22,0.532,18,0.255,18,0.141,5,0.251,21,0.350946142649199
"R. Carlisle (33-49)","2016-17","DAL","33","49",22,-3,23,104.7,25,107.7,13,28,93.11,18,0.505,29,0.225,3,0.127,30,0.216,5,0.366,27,0.529,20,0.282,1,0.16,7,0.267,18,0.320209973753281
