"team_id","team_name","gp","w","l","w_pct","min","e_off_rating","off_rating","e_def_rating","def_rating","e_net_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","e_pace","pace","pace_per40","poss","pie","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","off_rating_rank","def_rating_rank","net_rating_rank","ast_pct_rank","ast_to_rank","ast_ratio_rank","oreb_pct_rank","dreb_pct_rank","reb_pct_rank","tm_tov_pct_rank","efg_pct_rank","ts_pct_rank","pace_rank","pie_rank","date"
1610612745,"Houston Rockets",1,0,1,0,48,101.2,109.4,112.8,114.6,-11.6,-5.2,0.5,2.38,13.6,0.373,0.6,0.47,0.083,0.432,0.47,100.7,96,80,96,0.427,1,15,15,15,3,17,19,20,26,3,27,7,28,22,1,27,27,27,22,2024-10-24
1610612754,"Indiana Pacers",1,1,0,1,48,112.7,113.9,106.5,110.1,6.2,3.8,0.762,2.13,22.2,0.256,0.679,0.49,0.149,0.56,0.612,102.2,100,83.33,101,0.586,1,1,1,1,3,13,13,11,4,8,2,21,19,17,15,8,6,21,5,2024-10-24
1610612746,"LA Clippers",1,0,1,0,53,98.9,100,104.5,102.7,-5.6,-2.7,0.643,1.23,17.3,0.293,0.864,0.539,0.195,0.5,0.537,102,102.34,85.28,113,0.448,1,15,15,15,1,24,6,16,12,24,17,16,1,4,27,19,19,13,19,2024-10-24
1610612763,"Memphis Grizzlies",1,1,0,1,48,119.9,120,115,119.2,4.9,0.8,0.651,2.15,18.8,0.296,0.612,0.447,0.124,0.566,0.6,106.4,104.5,87.08,105,0.478,1,1,1,1,3,4,24,14,10,7,8,15,24,26,8,6,7,7,17,2024-10-24
1610612748,"Miami Heat",1,0,1,0,48,100.2,100,114.1,118.4,-13.8,-18.4,0.75,2.18,18.3,0.192,0.61,0.414,0.113,0.457,0.512,99.2,97.5,81.25,97,0.424,1,15,15,15,3,24,23,26,5,6,11,25,26,28,6,25,22,25,23,2024-10-24
1610612749,"Milwaukee Bucks",1,1,0,1,48,124.4,121.6,105.9,109,18.5,12.6,0.628,1.93,19.6,0.22,0.644,0.47,0.137,0.638,0.662,101.3,101,84.17,102,0.63,1,1,1,1,3,3,11,6,15,11,5,24,21,23,11,2,2,19,3,2024-10-24
1610612750,"Minnesota Timberwolves",1,1,0,1,48,112,115.8,112.3,112.7,-0.3,3.1,0.585,1.41,18,0.17,0.809,0.489,0.168,0.593,0.626,103.4,101.5,84.58,101,0.485,1,1,1,1,3,8,15,12,17,20,13,27,3,18,21,4,4,17,16,2024-10-24
1610612740,"New Orleans Pelicans",1,1,0,1,48,110.6,113.9,101.8,102.8,8.7,11.1,0.644,2.42,19.5,0.231,0.78,0.5,0.111,0.536,0.579,110.1,108,90,108,0.572,1,1,1,1,3,12,7,8,11,2,6,22,6,14,5,11,12,3,8,2024-10-24
1610612760,"Oklahoma City Thunder",1,1,0,1,48,96.9,104.1,84.3,87.9,12.5,16.2,0.535,1.92,16.4,0.317,0.609,0.468,0.122,0.465,0.48,104.2,98.5,82.08,98,0.528,1,1,1,1,3,19,1,5,22,12,19,11,27,24,7,23,26,23,11,2024-10-24
1610612753,"Orlando Magic",1,1,0,1,48,114.1,118.4,100.2,100,13.8,18.4,0.683,2,18.8,0.39,0.808,0.586,0.143,0.521,0.549,99.2,97.5,81.25,98,0.576,1,1,1,1,3,6,4,3,7,10,8,3,4,1,13,17,17,25,6,2024-10-24
1610612755,"Philadelphia 76ers",1,0,1,0,48,105.9,109,124.4,121.6,-18.5,-12.6,0.439,1.8,12.9,0.356,0.78,0.53,0.1,0.459,0.496,101.3,101,84.17,100,0.37,1,15,15,15,3,18,26,23,28,14,28,8,5,6,4,24,23,19,26,2024-10-24
