"player","name","value","Average"
"Jalen Johnson","John Hollinger",9,16.7857142857143
"Jalen Johnson","nbadraft.net",17,16.7857142857143
"Jalen Johnson","Kevin O'Connor",25,16.7857142857143
"Jalen Johnson","SB Nation",8,16.7857142857143
"Jalen Johnson","Sports Illustrated",12,16.7857142857143
"Jalen Johnson","Sporting News",35,16.7857142857143
"Jalen Johnson","Tankathon",7,16.7857142857143
"Jalen Johnson","USA Today",27,16.7857142857143
"Jalen Johnson","Sam Vecenie",25,16.7857142857143
"Usman Garuba","Average",18,17.7692307692308
"Usman Garuba","Bleacher Report",25,17.7692307692308
"Usman Garuba","CBS",17,17.7692307692308
"Usman Garuba","Chad Ford",19,17.7692307692308
"Usman Garuba","Dean On Draft",NA,17.7692307692308
"Usman Garuba","ESPN",14,17.7692307692308
"Usman Garuba","John Hollinger",15,17.7692307692308
"Usman Garuba","nbadraft.net",25,17.7692307692308
"Usman Garuba","Kevin O'Connor",15,17.7692307692308
"Usman Garuba","SB Nation",18,17.7692307692308
"Usman Garuba","Sports Illustrated",15,17.7692307692308
"Usman Garuba","Sporting News",21,17.7692307692308
"Usman Garuba","Tankathon",23,17.7692307692308
"Usman Garuba","USA Today",13,17.7692307692308
"Usman Garuba","Sam Vecenie",11,17.7692307692308
"Jared Butler","Average",18,18.4285714285714
"Jared Butler","Bleacher Report",13,18.4285714285714
"Jared Butler","CBS",19,18.4285714285714
"Jared Butler","Chad Ford",21,18.4285714285714
"Jared Butler","Dean On Draft",16,18.4285714285714
"Jared Butler","ESPN",21,18.4285714285714
"Jared Butler","John Hollinger",11,18.4285714285714
"Jared Butler","nbadraft.net",28,18.4285714285714
"Jared Butler","Kevin O'Connor",23,18.4285714285714
"Jared Butler","SB Nation",20,18.4285714285714
"Jared Butler","Sports Illustrated",18,18.4285714285714
"Jared Butler","Sporting News",19,18.4285714285714
"Jared Butler","Tankathon",15,18.4285714285714
"Jared Butler","USA Today",17,18.4285714285714
"Jared Butler","Sam Vecenie",17,18.4285714285714
"Chris Duarte","Average",19,18.6153846153846
"Chris Duarte","Bleacher Report",20,18.6153846153846
"Chris Duarte","CBS",12,18.6153846153846
"Chris Duarte","Chad Ford",15,18.6153846153846
"Chris Duarte","Dean On Draft",NA,18.6153846153846
"Chris Duarte","ESPN",23,18.6153846153846
"Chris Duarte","John Hollinger",19,18.6153846153846
"Chris Duarte","nbadraft.net",22,18.6153846153846
"Chris Duarte","Kevin O'Connor",18,18.6153846153846
"Chris Duarte","SB Nation",26,18.6153846153846
"Chris Duarte","Sports Illustrated",19,18.6153846153846
"Chris Duarte","Sporting News",16,18.6153846153846
"Chris Duarte","Tankathon",19,18.6153846153846
"Chris Duarte","USA Today",20,18.6153846153846
"Chris Duarte","Sam Vecenie",13,18.6153846153846
"Kai Jones","Average",19,19.2307692307692
"Kai Jones","Bleacher Report",23,19.2307692307692
"Kai Jones","CBS",21,19.2307692307692
"Kai Jones","Chad Ford",20,19.2307692307692
"Kai Jones","Dean On Draft",NA,19.2307692307692
"Kai Jones","ESPN",20,19.2307692307692
"Kai Jones","John Hollinger",32,19.2307692307692
"Kai Jones","nbadraft.net",12,19.2307692307692
"Kai Jones","Kevin O'Connor",17,19.2307692307692
"Kai Jones","SB Nation",15,19.2307692307692
"Kai Jones","Sports Illustrated",14,19.2307692307692
"Kai Jones","Sporting News",12,19.2307692307692
"Kai Jones","Tankathon",22,19.2307692307692
"Kai Jones","USA Today",23,19.2307692307692
"Kai Jones","Sam Vecenie",19,19.2307692307692
"Jaden Springer","Average",19,19.3571428571429
"Jaden Springer","Bleacher Report",12,19.3571428571429
"Jaden Springer","CBS",23,19.3571428571429
"Jaden Springer","Chad Ford",27,19.3571428571429
"Jaden Springer","Dean On Draft",10,19.3571428571429
"Jaden Springer","ESPN",27,19.3571428571429
"Jaden Springer","John Hollinger",20,19.3571428571429
"Jaden Springer","nbadraft.net",31,19.3571428571429
"Jaden Springer","Kevin O'Connor",22,19.3571428571429
"Jaden Springer","SB Nation",11,19.3571428571429
"Jaden Springer","Sports Illustrated",26,19.3571428571429
