"salary","nba_id"
2087519,202692
1157153,1641796
36725670,1629630
34005250,1630217
25257798,1628991
20210284,203935
12500000,1629634
9250000,1628379
6165000,1629723
5756880,1641744
3960531,1630583
3352680,1631222
2120693,1631246
2088033,1630643
2087519,1630590
2019699,1631113
1891857,1641713
1157153,1642377
464050,1629603
48728845,2544
43219440,203076
18692307,1626156
17000000,1629060
12976362,1630559
11000000,1629216
10714286,1629020
7142857,1631108
3879840,1641720
3819120,1642261
3036040,1626174
2463946,1629637
2463946,1629629
1891857,1641721
1157153,1642355
49205800,202695
33653846,201935
19241379,1626181
11743210,1627826
11539000,200782
11423077,1629611
9523810,1627884
5168000,1627739
4668000,201587
4158439,1630538
3938271,1629599
3237691,1629645
2533920,1641738
2087519,1628964
1157153,1642353
1000000,1630563
42176400,1630169
42176400,1627783
19928500,1626167
12975000,1630167
11000000,1630174
9300000,204456
7245720,1631097
6362520,1641716
4435381,1630543
2663880,1641767
2237691,1630164
2087519,1628418
2087519,201949
2019699,1629614
1850842,1642277
702310,203917
576229,1629752
555216,1630238
306660,1629650
42846615,1627832
22255493,1628415
12600000,203500
12483048,1630224
10098960,1642263
9770880,1631095
9249960,1641708
8000000,1629111
8000000,201145
7565217,1630256
5424654,1630578
4668000,1628988
3695160,1631106
3379080,1641715
250000,1631100
55761216,201939
26276786,203952
24107143,203110
13025250,203471
9130000,1627780
8780488,1627741
8780488,203937
8000000,1626172
7636307,1630228
5803269,1630541
3519960,1641764
2196970,1630322
1891857,1631218
1891857,1630611
25365854,202699
16193183,203501
15000000,1630191
13940809,1630595
8376000,1641709
8245320,1641842
7977240,1631093
7692308,1631323
6000000,1627736
4536840,1631105
2755080,1631204
2748674,203473
2537040,1631111
2485563,1630194
1257153,1641752
32596,1631322
51415938,203999
36016200,1627750
35859950,1629008
22841455,203932
8888889,1630192
5631296,201566
5168000,203967
3089640,1631128
3065640,1641747
2552520,1631124
2413560,1631212
2087519,201599
2087519,1628427
1891857,1629618
1891857,1641816
43031940,1629029
41000000,202681
15873016,202691
15500000,1629023
13394160,1629655
11000000,1628467
8571429,1630230
5014560,1641726
4296682,1629656
4000000,203939
3150000,203957
2870400,1641765
2208856,201580
2087519,202693
2087519,203915
2019699,1630702
36725670,1629636
35410310,1628378
20000000,1628386
16615384,1627747
15212068,1629622
11227657,1630596
10185186,1630171
8500000,1627777
6166667,1629731
3326160,1642281
2560975,1629660
2164993,1630241
2087519,202684
1891857,1641854
1301031,201937
35147000,1630163
27173913,1628970
13025250,1629684
12654321,1630182
11424600,1641706
8120000,1628998
7723000,203995
7488720,1642275
5250000,202722
5000000,1630208
4908373,1630544
4094280,1631109
4033748,202704
3080918,1629610
2587200,1641733
2237692,1629718
2162607,1630613
2087519,203552
2087519,201959
43031940,203897
21395348,1628366
20000000,202696
18000000,1630172
12000000,1629632
8571429,1630188
8352367,1630581
7000000,1630245
6500000,1628975
5893768,1630537
5195520,1641824
3510480,1631207
2845342,1628470
2087519,1629659
1891857,1641763
40338144,1627732
27556817,1629651
22500000,1629661
19032850,202711
14924167,1627827
12822000,1629001
6133005,1630533
4041249,1630560
3989122,1630549
3244080,1641730
3114240,1641727
2875000,1629003
2726603,1630570
2162606,1630553
1891857,1630592
49700000,1627759
34848340,1628369
30000000,201950
29268293,204001
20071429,1628401
9500000,201143
6696429,1630202
4018363,1630531
2494320,1631248
2237691,1630214
2162606,1629674
2092344,1630573
2087519,1628436
1891857,1641775
43031940,1629027
22265280,203991
21696429,1629631
17260000,203992
14000000,1630168
